ck2_key,ck3_key,scale,note,status
patron_milil_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_myrkul_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_mystra_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_oghma_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_orcus_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_red_knight_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_sebek_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_selune_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_shar_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_sharess_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_shargaas_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_siamorphe_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_silvanus_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_sseth_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_sune_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_talona_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_tempus_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_tiamat_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_tyr_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_umberlee_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_valkur_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_vandria_gilmadrith_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_velsharoon_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_vlaakith_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_yondalla_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_zaerith_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
pikemen,pikemen_damage_mult,1,in command_modifier a % bonus -> CK3 MAA damage; in a building a flat troop count -> comment,approx
planar_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
plot_discovery_chance,enemy_scheme_secrecy_add,-100,CK2 raises your chance to discover plots; CK3 lowers the plotter's secrecy - sign flips,approx
plot_power_modifier,owned_hostile_scheme_success_chance_add,100,CK2 fraction of plot power -> CK3 percentage points of scheme success,approx
pursue,army_pursuit_mult,1,CK2 pursue -> CK3 pursuit multiplier,approx
qismaite_group_opinion,<ck3_religion>_religion_opinion,1,CK2 <religion_group>_opinion -> CK3 <religion>_religion_opinion (00_religion_definitions.txt:1); must be declared in common/modifier_definition_formats/,approx
rel_head_opinion,religious_head_opinion,1,same concept and range,exact
random,,,"CK2 command_modifier random: the only use in either CK2 vanilla (common/traits/00_traits.txt:2018) or Faerun is trickster = 0.3. CK3 battles have no random combat events, so there is nothing to scale - emit as comment. Not the trait-level `random` boolean, which is mappings/trait_fields.csv:61",none
religion_flex,,,CK2 willingness to change religion; CK3 has no equivalent - emit as comment,none
religious_enemy,,,"CK2 flag modifier used by triggers, not a value; emit as comment",none
retinuesize,men_at_arms_limit,1,CK2 retinue cap -> CK3 men-at-arms regiment limit; units differ (troops vs regiments),approx
retinuesize_perc,men_at_arms_limit,1,CK3 has no percentage MAA limit modifier; convert to an absolute men_at_arms_limit,approx
retreat,army_screen_mult,1,CK2 retreat -> CK3 screen multiplier (both cover a withdrawal),approx
sahuagin_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
same_opinion,same_opinion,1,"CK3 trait field (_traits.info:143); CK2 p90 15, CK3 p90 20",exact
same_opinion_if_same_religion,same_opinion_if_same_faith,1,CK3 trait field (_traits.info:145),exact
same_religion_opinion,same_faith_opinion,1,CK2 religion -> CK3 faith,exact
scouting,,,Faerun custom flag modifier read by events; emit as comment,none
sex_appeal_opinion,attraction_opinion,1,"scale 1 verified on three trait pairs: fair 30 -> beauty_good_3 30, ugly -20 -> beauty_bad_2 -20, weak -10 -> physique_bad_3 -10",exact
short_reign_length,short_reign_duration_mult,1,"CK2 is months, CK3 is a fraction of the base duration - re-derive per value",approx
siege,siege_phase_time,-1,"CK2 positive = faster siege; CK3 siege_phase_time lower = faster, so the sign flips",approx
siege_defence,defender_holding_advantage,1,CK2 fraction vs CK3 advantage points - re-derive magnitude,approx
siege_speed,siege_phase_time,-1,same inversion as `siege`,approx
speed,movement_speed,1,CK2 commander speed -> CK3 movement speed,approx
spouse_opinion,spouse_opinion,1,same key and range,exact
stewardship,stewardship,1,same additive attribute point,exact
stewardship_penalty,stewardship,1,CK2 splits attribute bonus and attribute penalty; CK3 has one additive key - sum both into it,approx
supply_limit,supply_limit,1,same flat troop-count units,exact
sylvan_elf_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
sylvan_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
tax_income,monthly_income,1,flat monthly gold; CK3 buildings put it in province_modifier (00_standard_military_buildings.txt:47),exact
tech_growth_modifier,development_growth,1,CK2 per-province tech growth -> CK3 county development growth,approx
terrain,,,CK2 leader terrain list; in CK3 use trait_exclusive_if_realm_contains plus <terrain>_advantage - emit as comment,none
text_effect_artificer_build,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_barb_cb,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_bard_seduce,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_disease_imm,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_divine_class,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_druid_build,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_fighter_tactics,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_monk_tactic,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_rogue_cb,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_shadow_jobs,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_sneak_tactic,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_spell_tactics,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_wiz_conjuration,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_wiz_enchantment,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_wiz_illusion,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
text_effect_wiz_necromancy,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
thasmudyan_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
thasmudyanic_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
tiamat_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
tolerates_aberration_group,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
tolerates_atheist_group,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
tolerates_draconic_group,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
tolerates_drow_pantheon,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
tolerates_dwarven_pantheon_group,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
tolerates_elven_pantheon_group,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
tolerates_evil_human_pantheon_group,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
tolerates_giant_pantheon_group,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
tolerates_good_human_pantheon_group,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
tolerates_humanoid_group,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
tolerates_karaturan_group,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
tolerates_qismaite_group,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
tolerates_unenlightened_group,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
tolerates_wild_human_pantheon_group,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
tradevalue,monthly_income,1,CK2 trade-post value; CK3 has no trade zones - approximate with flat income,approx
trait_effect_capture_commanders,,,"CK2 custom text modifier declared in common/modifier_definitions/ (display only, read back by triggers); CK3 has no display-only modifier - emit as comment",none
triadic_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
tribal_opinion,tribal_government_opinion,1,CK2 tribal vassals -> CK3 tribal-government vassals,approx
turm_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
twin_opinion,twin_opinion,1,same key and range,exact
ubtao_worship_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
undead_troops,,,Faerun special unit; needs a new CK3 men_at_arms_type - emit as comment,none
uthgardt_faith_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
vassal_opinion,vassal_opinion,1,same key and range on both sides,exact
war_elephants,elephant_cavalry_damage_mult,1,CK2 war elephants -> CK3 elephant cavalry,approx
winter_combat,winter_advantage,1,CK2 fraction vs CK3 advantage points - re-derive magnitude,approx
winter_supply,,,CK3 has no winter supply channel - emit as comment,none
wonder_build_cost_modifier,,,CK3 great projects have a build-speed modifier but no cost modifier - emit as comment,none
wonder_build_time_modifier,great_project_build_speed,1,CK2 wonders -> CK3 great projects,approx
zakharan_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
zoroastrian_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
