ck2_key,ck3_key,status,confidence,note,decision_uses
num_of_trade_post_diff,,none,verified,trade posts/routes do not exist in CK3 1.19 (docs/mechanics_inventory.md),2
olrox_is_good_religion_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
player_heir,player_heir,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),2
port,,none,assumed,not found in the CK3 1.19 vocabulary sample as a bare trigger,2
race_is_dwarven,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
raiding_ruler_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
ruled_years,,none,assumed,not found in the CK3 1.19 vocabulary sample,2
show_scope_change,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
society_has_active_progress,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),2
spouse,spouse,exact,assumed,unchanged (scope-link comparison),2
stewardship,stewardship,exact,verified,unchanged,2
z_legendary_arcane,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",2
z_master_arcane,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",2
z_renowned_arcane,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",2
z_rogue,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",2
z_shadow,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",2
adventurer,adventurer,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
ai_rationality,ai_rationality,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
amount,,none,assumed,"context-dependent field name, not a single vocabulary key",1
any_de_jure_vassal_title,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
any_friend,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
any_player,any_player,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
any_province_lord,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
barred_from_adopting_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
calc_true_if,calc_true_if,exact,verified,unchanged,1
can_be_given_away,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
can_marry,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
claimed_by,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
combat_rating,,none,assumed,not found in the CK3 1.19 vocabulary sample,1
conquest_culture,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
court_is_max_crowded_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
court_is_mid_crowded_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
court_is_min_crowded_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
current_heir,,none,assumed,not found in the CK3 1.19 vocabulary sample as a bare scope link,1
days_at_current_society_rank,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
days_in_society,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
developing_epidemic_disease_trigger,,none,verified,"CK2 disease maps to CK3 epidemics, a different construct (docs/mechanics_inventory.md)",1
diplomatic_immunity,,none,assumed,not found in the CK3 1.19 vocabulary sample,1
duelist_skill_is_high_group_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
event_target:current_caliph,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
female_can_hold_minor_title_trigger,,none,verified,"CK2 minor titles map to CK3 court positions, a different construct (docs/mechanics_inventory.md)",1
gfx_culture_scope,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_any_opinion_modifier,,none,assumed,not found in the CK3 1.19 vocabulary sample,1
has_bottom_tier_education_trait_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_children,,none,assumed,not found in the CK3 1.19 vocabulary sample,1
has_dharmic_religion_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_education_diplomacy_trigger,has_education_diplomacy_trigger,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
has_education_intrigue_trigger,has_education_intrigue_trigger,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
has_education_learning_trigger,has_education_learning_trigger,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
has_education_martial_trigger,has_education_martial_trigger,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
has_education_stewardship_trigger,has_education_stewardship_trigger,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
has_offmap_flag,,none,verified,offmap powers do not exist in CK3 (docs/mechanics_inventory.md),1
has_overseas_holdings,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_patron_god,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_regent,,none,verified,"not found in the CK3 1.19 vocabulary sample; CK3 regency is exposed via the council/court position system, no bare trigger found",1
has_religion_matching_joined_warrior_lodge_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_scarred_trait_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_secret_religion_trait_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_society_currency_massive_trigger,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
has_society_landed_title,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
has_top_tier_education_trait_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_wiz_spec,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
have_all_armorsmith_artifacts_all_flags_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
have_all_weaponsmith_artifacts_all_flags_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
have_duplicate_goldsmith_artifacts_flag_amazing_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
have_duplicate_goldsmith_artifacts_flag_expensive_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
have_duplicate_goldsmith_artifacts_flag_good_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
have_duplicate_goldsmith_artifacts_flag_okay_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
health_traits,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
in_battle,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_a_mammal_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_allowed_to_sacrifice_true_believers,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_artifact_equipped,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_betrothed,is_betrothed,exact,assumed,not individually greped,1
is_building_wonder_upgrade,,none,verified,"CK2 wonders map to CK3 special buildings, not this trigger/effect surface (docs/mechanics_inventory.md)",1
is_capital,,none,assumed,"CK2 checks a province is a capital; CK3 splits capital_county/capital_barony are scope links, not a trigger on the province itself",1
is_conquered,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_consort,,none,assumed,CK3 has no separate consort concept from spouse,1
is_dumb_congenital_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_fair_non_congenital_trait_upgradeable_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_hard_to_convert,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_immune_to_conversion_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_indestructible,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_innate_master_for_arctic_dwarf_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_innate_master_for_chessentan_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_innate_master_for_dragonspawn_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_innate_master_for_fire_giant_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_innate_master_for_shield_dwarf_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_innate_master_for_storm_giant_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_innate_master_for_strixiki_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_landless_type_title,,none,verified,not found in the CK3 1.19 vocabulary sample; needs a human check of the landless-title trigger,1
is_liege_or_above,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_lover,,none,assumed,not found in the CK3 1.19 vocabulary sample; check has_relation_lover,1
is_lycanthrope_compatible,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_maimed_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_married_matrilineally,,none,verified,not found in the CK3 1.19 vocabulary sample; needs a human check of the matrilineal-marriage trigger,1
is_member_of_any_thieves_guild_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_nomadic_tribal_culture,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_powerful_vassal,is_powerful_vassal,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
is_pro_death_religion,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_rival,,none,assumed,not found in the CK3 1.19 vocabulary sample; check has_relation_rival,1
is_society,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
is_vassal_or_below,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_weak_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
leader,leader,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
liege_before_war,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
male_can_hold_minor_commander_title_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
num_of_baron_titles_in_realm,,none,assumed,not found in the CK3 1.19 vocabulary sample,1
num_of_count_titles_in_realm,,none,assumed,not found in the CK3 1.19 vocabulary sample,1
num_of_max_settlements,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
num_of_prisoners,,none,assumed,not found in the CK3 1.19 vocabulary sample,1
offmap_ruler,,none,verified,offmap powers do not exist in CK3 (docs/mechanics_inventory.md),1
owes_favor_to,,none,assumed,CK3 hooks are not modelled as favors owed,1
pacifist,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
plot_is_known_by,,none,verified,"CK2 plots have no CK3 counterpart (schemes are structurally different, docs/mechanics_inventory.md)",1
race_is_aberrant,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
race_is_illithid,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
relative_realm_size,,none,assumed,not found in the CK3 1.19 vocabulary sample,1
religion_has_patrons,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
reverse_opinion,reverse_opinion,exact,assumed,unchanged,1
rightful_religious_head_scope,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
same_realm,same_realm_as,approx,assumed,CK3 renamed same_realm -> same_realm_as,1
secret_religious_cult,,none,verified,secret religious societies/cults do not exist in CK3 (docs/mechanics_inventory.md),1
shares_prevs_secret_religion_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
show_only_failed_conditions,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
size,,none,assumed,"context-dependent field name, not a single vocabulary key",1
smart_2x_score,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
society_can_rank_up,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
supported_claimant_title,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
total_years_played,,none,assumed,not found in the CK3 1.19 vocabulary sample,1
wonder,,none,verified,"CK2 wonders map to CK3 special buildings, not this trigger/effect surface (docs/mechanics_inventory.md)",1
wonder_owner,,none,verified,"CK2 wonders map to CK3 special buildings, not this trigger/effect surface (docs/mechanics_inventory.md)",1
z_expert_arcane,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_expert_martial,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_journeyman_arcane,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_legendary_martial,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_master_martial,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_multiclass,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_renowned_martial,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
